trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2019-01-01 12:57:21.732737,4140450158389022,fraud_Heidenreich-Hilll_0367,shopping_net,101.43,First71,Last71,F,2331 Example Street,City_07,OH,37634,29.98232859892114,-98.76152939920709,58900,Chef,1971-03-12,00000000000000000000000000000154,1546347,30.14166030634017,-99.23163276160157,0
2019-01-01 13:28:32.360228,4201688013280453,fraud_Kutch-Rippin_0509,food_dining,90.05,First163,Last163,F,3703 Example Street,City_29,NC,75822,42.31105225393709,-85.72211595655355,11289,"Surveyor, building",1954-10-01,00000000000000000000000000000175,1546349,42.53816036666374,-85.51842084267983,0
2019-01-01 19:05:15.533868,4507248632461715,fraud_Kutch-Schmidt_0480,shopping_net,54.74,First57,Last57,M,7257 Example Street,City_00,NY,48189,35.23311672232728,-78.29238025287441,123844,Solicitor,1974-11-29,000000000000000000000000000002c1,1546369,35.46407523929678,-78.60819361201403,0
2019-01-01 21:07:25.802167,4086639192295316,fraud_Sporer-Effertz_0030,home,7.31,First265,Last265,M,9969 Example Street,City_30,MI,85475,28.105176379934708,-76.06692989155924,108771,"Teacher, secondary school",2003-01-14,0000000000000000000000000000032c,1546376,28.08746045205977,-75.9340616254499,0
2019-01-01 21:17:05.698550,4317120661875137,fraud_Sporer-Herzog_0506,home,183.7,First141,Last141,F,6114 Example Street,City_26,CA,68856,32.167401515176344,-90.23115237150547,4549,"Nurse, adult",1954-12-07,00000000000000000000000000000337,1546377,32.18414653411763,-89.88133415469095,0
2019-01-02 08:11:52.779238,4242778985460820,fraud_Dach-Boyer_0585,grocery_pos,82.98,First128,Last128,F,7557 Example Street,City_25,MI,58765,29.23065356139343,-86.66824091662411,86749,"Journalist, newspaper",1990-10-12,000000000000000000000000000003f9,1546416,29.02054559565118,-86.81320891848425,0
2019-01-02 08:25:05.345905,4062301770283712,fraud_Hilll-Kutch_0393,shopping_net,97.94,First324,Last324,F,7973 Example Street,City_33,CA,34346,34.99068058303363,-90.35736486338564,291859,"Journalist, newspaper",1981-02-10,00000000000000000000000000000406,1546417,35.028264422120586,-90.27597966004535,0
2019-01-02 09:45:00.508304,4734195068218244,fraud_Kihn-Ruecker_0152,health_fitness,142.69,First81,Last81,M,7162 Example Street,City_32,IL,88082,43.98187420157619,-83.33455246397519,18745,Solicitor,1991-04-23,0000000000000000000000000000044c,1546422,43.72277841594347,-83.56988042151974,0
2019-01-02 09:46:22.548307,4216399563281265,fraud_Ruecker-Cormier_0549,home,13.35,First201,Last201,F,5863 Example Street,City_29,NC,84612,42.44014013702194,-85.85983278642473,11289,"Surveyor, building",1992-11-24,0000000000000000000000000000044d,1546422,42.30393001016843,-85.47970491510242,0
2019-01-02 17:24:51.165581,4362518881803735,fraud_Cormier-Sporer_0293,shopping_net,84.86,First210,Last210,F,309 Example Street,City_13,GA,25164,40.30481950471493,-115.62369842482175,88279,"Nurse, adult",1982-05-22,000000000000000000000000000005f6,1546449,40.24222843543264,-115.3619058478721,0
2019-01-03 09:35:46.680853,4529800610907470,fraud_Ruecker-Schmidt_0316,health_fitness,35.25,First156,Last156,M,294 Example Street,City_36,PA,42769,37.994732722509234,-114.24399593128676,11388,"Teacher, secondary school",1979-11-02,000000000000000000000000000007d1,1546508,37.443227446473124,-114.00505029369938,0
2019-01-03 10:11:19.654508,4664903679041476,fraud_Ruecker-Kihn_0297,food_dining,24.56,First161,Last161,M,3755 Example Street,City_17,CA,73362,37.91639876886308,-83.25840398062172,45372,"Surveyor, building",1959-10-19,000000000000000000000000000007ef,1546510,36.97969776033886,-83.79136514408626,0
2019-01-03 10:59:38.413819,4769792180377323,fraud_Kuhn-Herzog_0323,personal_care,94.99,First397,Last397,M,3150 Example Street,City_03,MI,39111,45.52797392306644,-89.51437464889992,157721,Graphic designer,1965-07-08,00000000000000000000000000000821,1546513,45.54059278890887,-90.07364912681406,0
2019-01-03 11:04:49.502225,4187230626089851,fraud_Rowe-Heidenreich_0413,shopping_pos,107.43,First337,Last337,F,1868 Example Street,City_13,GA,43154,40.352874701780415,-115.89722793603634,88279,"Pharmacist, community",1957-11-29,00000000000000000000000000000825,1546513,40.16771488499228,-114.94478928959496,0
2019-01-03 12:08:00.831557,4988447413831929,fraud_Rippin-Kuhn_0378,grocery_pos,28.79,First16,Last16,F,8080 Example Street,City_18,IL,86192,37.69249300804634,-107.19741519738241,23578,"Surveyor, building",1969-05-06,0000000000000000000000000000085c,1546517,38.179233256232315,-107.51257584548732,0
2019-01-03 21:26:33.879158,4146538972560331,fraud_Hilll-Kuhn_0224,health_fitness,36.38,First203,Last203,M,1211 Example Street,City_24,MI,59747,35.91670957824215,-114.7817117583533,37410,"Nurse, adult",1958-12-13,00000000000000000000000000000a55,1546550,35.494983470094205,-114.64120570910069,0
2019-01-04 08:56:58.229993,4588758474374329,fraud_Effertz-Kutch_0290,grocery_pos,66.85,First281,Last281,M,8887 Example Street,City_10,MI,61781,28.767359939730156,-98.28918607335875,12933,"Pharmacist, community",1959-10-28,00000000000000000000000000000b2f,1546592,28.73056351549697,-97.49978751505033,0
2019-01-04 09:30:14.441379,4815044823408093,fraud_Bauch-Rippin_0131,grocery_net,30.35,First20,Last20,M,4116 Example Street,City_11,CA,38874,40.05415485873735,-100.35453780827092,74077,"Accountant, chartered",1986-03-10,00000000000000000000000000000b55,1546594,40.21523776580608,-100.5999498868387,0
2019-01-04 11:04:46.932257,4057764014594809,fraud_Kuhn-Predovic_0043,travel,274.21,First316,Last316,M,9320 Example Street,City_03,MI,21514,45.476805258199114,-89.5868130316646,157721,Civil engineer,1978-05-26,00000000000000000000000000000ba6,1546599,45.47715801289749,-89.26601882644104,0
2019-01-04 12:45:52.441457,4623085257470220,fraud_Reilly-Rowe_0120,grocery_pos,46.11,First146,Last146,M,3387 Example Street,City_00,NY,93070,34.97968699427913,-78.32646181565401,123844,Graphic designer,1988-04-29,00000000000000000000000000000bfa,1546605,34.71893934922698,-77.98554873090542,0
2019-01-04 13:56:11.077648,4994348566947031,fraud_Kihn-Schmidt_0535,entertainment,61.98,First229,Last229,F,1833 Example Street,City_15,NY,51849,42.22867126666812,-99.22943612360402,16326,"Nurse, adult",1990-05-22,00000000000000000000000000000c31,1546610,42.81995105520964,-99.2955274948862,0
2019-01-04 14:19:25.741777,4922864362925189,fraud_Effertz-Bins_0583,home,79.92,First24,Last24,M,3933 Example Street,City_23,MI,61102,29.39145241210795,-121.88142163279706,22609,Solicitor,1979-03-17,00000000000000000000000000000c47,1546611,29.95934493666451,-121.26616846849286,0
2019-01-04 14:20:20.255163,4046561151728786,fraud_Lind-Stroman_0588,shopping_pos,45.48,First151,Last151,F,3419 Example Street,City_28,OH,78405,40.87448759613808,-109.14051095990159,197113,Civil engineer,1974-10-23,00000000000000000000000000000c49,1546611,40.76473503046754,-109.98294974997042,0
2019-01-04 15:57:05.864681,4792425100335177,fraud_Hilll-Schmidt_0226,food_dining,12.93,First86,Last86,F,3553 Example Street,City_26,CA,54216,32.48027257774423,-90.14628689025945,4549,"Pharmacist, community",1991-07-05,00000000000000000000000000000ca2,1546617,32.0574227771981,-90.51108787051284,0
2019-01-04 15:58:40.020386,4010753717600025,fraud_Rowe-Lind_0555,grocery_pos,70.78,First162,Last162,M,8184 Example Street,City_35,PA,21067,36.27409506969283,-105.85281008657718,58253,"Accountant, chartered",1973-04-09,00000000000000000000000000000ca6,1546617,36.62075036388929,-105.57069091250854,0
2019-01-04 21:02:59.770173,4219271750923090,fraud_Rippin-Effertz_0057,entertainment,136.16,First109,Last109,M,2003 Example Street,City_17,CA,39088,37.90002357432402,-82.97378793106108,45372,Graphic designer,1987-08-10,00000000000000000000000000000db4,1546635,37.820499355110364,-83.10283454455723,0
2019-01-04 21:47:46.461271,4351349683289263,fraud_Lind-Gutmann_0018,gas_transport,123.85,First54,Last54,M,3339 Example Street,City_18,IL,57219,37.755169732950385,-107.31473495672373,23578,"Surveyor, building",1978-07-08,00000000000000000000000000000ddc,1546638,37.78825504162317,-107.41149301441725,0
2019-01-04 22:34:54.940747,4169696932241865,fraud_Bauch-Reilly_0317,shopping_net,42.14,First129,Last129,F,4257 Example Street,City_37,CA,75122,38.245593683632876,-105.00532878476011,83425,"Teacher, secondary school",1951-06-09,00000000000000000000000000000e07,1546641,38.44183779959477,-104.57997044008097,0
2019-01-04 22:57:59.833379,4046561151728786,fraud_Dach-Ruecker_0228,shopping_net,148.41,First151,Last151,F,3419 Example Street,City_28,OH,78405,40.87448759613808,-109.14051095990159,197113,Civil engineer,1974-10-23,00000000000000000000000000000e23,1546642,40.561302860716204,-108.94998362198798,0
